id,title,isbn,publish_date,price_value,price_currency
1,Spring Boot in Action,978-100-000-000-1,2023-01-15,35.99,USD
2,Spring Boot Cookbook,978-100-000-000-2,2023-02-10,42.50,EUR
3,Spring Boot Fundamentals,978-100-000-000-3,2023-03-05,39.99,USD
4,Spring Boot Advanced,978-100-000-000-4,2023-04-12,49.99,GBP
5,Spring Boot Patterns,978-100-000-000-5,2023-05-20,45.00,USD
6,Spring Boot Guide,978-100-000-000-6,2023-06-18,29.99,EUR
7,Spring Boot Crash Course,978-100-000-000-7,2023-07-22,25.99,USD
8,Spring Boot Mastery,978-100-000-000-8,2023-08-30,55.00,GBP
9,Spring Boot Essentials,978-100-000-000-9,2023-09-14,34.50,USD
10,Spring Boot for Beginners,978-100-000-001-0,2023-10-01,22.99,EUR
11,Angular in Action,978-100-000-001-1,2023-01-16,35.99,USD
12,Angular Cookbook,978-100-000-001-2,2023-02-11,42.50,EUR
13,Angular Fundamentals,978-100-000-001-3,2023-03-06,39.99,USD
14,Angular Advanced,978-100-000-001-4,2023-04-13,49.99,GBP
15,Angular Patterns,978-100-000-001-5,2023-05-21,45.00,USD
16,Angular Guide,978-100-000-001-6,2023-06-19,29.99,EUR
17,Angular Crash Course,978-100-000-001-7,2023-07-23,25.99,USD
18,Angular Mastery,978-100-000-001-8,2023-08-31,55.00,GBP
19,Angular Essentials,978-100-000-001-9,2023-09-15,34.50,USD
20,Angular for Beginners,978-100-000-002-0,2023-10-02,22.99,EUR
21,Java 21 in Action,978-100-000-002-1,2023-01-17,35.99,USD
22,Java 21 Cookbook,978-100-000-002-2,2023-02-12,42.50,EUR
23,Java 21 Fundamentals,978-100-000-002-3,2023-03-07,39.99,USD
24,Java 21 Advanced,978-100-000-002-4,2023-04-14,49.99,GBP
25,Java 21 Patterns,978-100-000-002-5,2023-05-22,45.00,USD
26,Java 21 Guide,978-100-000-002-6,2023-06-20,29.99,EUR
27,Java 21 Crash Course,978-100-000-002-7,2023-07-24,25.99,USD
28,Java 21 Mastery,978-100-000-002-8,2023-09-01,55.00,GBP
29,Java 21 Essentials,978-100-000-002-9,2023-09-16,34.50,USD
30,Java 21 for Beginners,978-100-000-003-0,2023-10-03,22.99,EUR
31,Docker in Action,978-100-000-003-1,2023-01-18,35.99,USD
32,Docker Cookbook,978-100-000-003-2,2023-02-13,42.50,EUR
33,Docker Fundamentals,978-100-000-003-3,2023-03-08,39.99,USD
34,Docker Advanced,978-100-000-003-4,2023-04-15,49.99,GBP
35,Docker Patterns,978-100-000-003-5,2023-05-23,45.00,USD
36,Docker Guide,978-100-000-003-6,2023-06-21,29.99,EUR
